Designator,Mid X,Mid Y,Rotation,Layer
220 Ω_6,158.35,-95.5,270.0,top
220 Ω_5,183.5,-95.5,270.0,top
220 Ω_4,178.5,-95.5,270.0,top
220 Ω_3,163.3,-95.5,270.0,top
220 Ω_2,173.5,-95.5,270.0,top
220 Ω,168.5,-95.5,270.0,top
4.7 K Ω,153.0,-95.5,270.0,top
BATTERY MOUNT (CR2032),168.5,-113.5,0.0,bottom
BUTTON,168.0,-84.5,0.0,top
D1,163.995,-73.5,0.0,top
D2,172.73,-73.5,0.0,top
LED_4,146.73,-85.0,0.0,top
LED_3,150.915,-138.0,0.0,top
LED_2,188.23,-85.5,0.0,top
LED,186.23,-138.0,0.0,top
MOTOR,188.5,-114.505,180.0,top
NPN,149.365,-114.77,90.0,top
